"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1666","Register should fail: Email chứa dấu cách","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.RegisterTest","All Tests","tests.RegisterTest","testRegisterDynamic"
"","8356","Test update profile: cập nhập tên : Name HN 3 , số điện thoại, tỉnh Hà Nội, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","1151","Login should fail: Trống cả 2 trường","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.LoginTest","All Tests","tests.LoginTest","testLoginDynamic"
"","1616","Register should fail: Trống trường Email","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.RegisterTest","All Tests","tests.RegisterTest","testRegisterDynamic"
"This test verifies that a user can successfully log in using valid email and password","2736","Verify user can login with valid credentials","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.LoginTest","All Tests","tests.LoginTest","testLoginSuccessfully"
"","8323","Test update profile: cập nhập tên : Name HCM 2 , số điện thoại, tỉnh TP HCM, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","2458","Positive Search: Tìm kiếm theo tên thương hiệu","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.SearchTest","All Tests","tests.SearchTest","testPositiveSearch"
"","8389","Test update profile: cập nhập tên : Name DN 3 , số điện thoại, tỉnh Đà Nẵng, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","9005","Test update profile: cập nhập tên : Name HN 2 , số điện thoại, tỉnh Hà Nội, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","8254","Test update profile: cập nhập tên : Name DN 2 , số điện thoại, tỉnh Đà Nẵng, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","11997","Login should fail: Email không tồn tại","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.LoginTest","All Tests","tests.LoginTest","testLoginDynamic"
"","8886","Test update profile: cập nhập tên : Name DNO 1 , số điện thoại, tỉnh Đăk Nông, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","8817","Test update profile: cập nhập tên : Name DNO 6 , số điện thoại, tỉnh Đăk Nông, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","2514","Register should fail: Đăng ký với email đã tồn tại","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.RegisterTest","All Tests","tests.RegisterTest","testRegisterDynamic"
"","2049","Negative Search: Kiểm thử bảo mật XSS Injection","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.SearchTest","All Tests","tests.SearchTest","testNegativeSearch"
"","8423","Test update profile: cập nhập tên : Name HN 1 , số điện thoại, tỉnh Hà Nội, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","8342","Test update profile: cập nhập tên : Name DN 1 , số điện thoại, tỉnh Đà Nẵng, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","2136","Negative Search: Tìm kiếm với chuỗi ký tự số dài","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.SearchTest","All Tests","tests.SearchTest","testNegativeSearch"
"","12264","Login should fail: Sai mật khẩu","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.LoginTest","All Tests","tests.LoginTest","testLoginDynamic"
"","8824","Test update profile: cập nhập tên : Name DNO 4 , số điện thoại, tỉnh Đăk Nông, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","8417","Test update profile: cập nhập tên : Name DN 4 , số điện thoại, tỉnh Đà Nẵng, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
"","2067","Register should fail: Trống tất cả các trường","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.RegisterTest","All Tests","tests.RegisterTest","testRegisterDynamic"
"","8237","Test update profile: cập nhập tên : Name HCM 6 , số điện thoại, tỉnh TP HCM, Quận , Phường, địa chỉ","Selenium Automation Test Suite","2026-06-24","passed","2026-06-24","tests.ProfileTest","All Tests","tests.ProfileTest","testUpdateProfile"
